Date,Close/Last,Volume,Open,High,Low
04/03/2023,$279.65,39871560,$275.09,$280.00,$273.36
03/31/2023,$277.77,43393280,$271.40,$278.3431,$271.05
03/30/2023,$273.83,36451570,$272.29,$274.99,$271.02
03/29/2023,$269.84,39369390,$268.25,$270.78,$265.97
03/28/2023,$264.10,35610380,$264.47,$265.13,$258.50
03/27/2023,$265.31,36102570,$268.37,$270.00,$263.65
03/24/2023,$267.79,45541410,$270.31,$271.67,$263.55
03/23/2023,$271.91,56488880,$271.155,$274.99,$266.90
03/22/2023,$264.68,79729510,$264.25,$275.89,$262.37
03/21/2023,$261.99,54740780,$261.80,$263.92,$253.81
03/20/2023,$259.00,43274720,$256.15,$260.24,$251.2983
03/17/2023,$257.25,84854660,$259.82,$263.99,$256.68
03/16/2023,$255.41,58494630,$240.27,$255.88,$238.94
03/15/2023,$242.28,52448570,$237.61,$242.86,$233.60
03/14/2023,$240.63,47491010,$234.96,$242.19,$234.60
03/13/2023,$229.66,42189030,$227.52,$232.98,$222.97
03/10/2023,$229.65,47486570,$234.09,$236.27,$227.26
03/09/2023,$234.36,50125700,$241.75,$244.54,$233.8284
03/08/2023,$241.81,51357340,$234.87,$242.00,$234.235
03/07/2023,$232.88,51515390,$236.00,$241.25,$232.41
03/06/2023,$235.54,43742920,$238.91,$242.48,$234.87
03/03/2023,$238.90,41239330,$233.20,$239.00,$231.30
03/02/2023,$233.14,39007470,$224.88,$233.804,$224.32
03/01/2023,$226.98,46002560,$231.92,$232.5557,$225.08
02/28/2023,$232.16,45596280,$233.72,$238.25,$232.06
02/27/2023,$235.01,45299370,$236.70,$238.7994,$234.54
02/24/2023,$232.86,58971590,$232.25,$234.74,$229.47
02/23/2023,$236.64,111799500,$234.40,$238.88,$230.25
02/22/2023,$207.54,51318430,$207.07,$211.04,$204.21
02/21/2023,$206.55,41001460,$210.00,$214.938,$206.18
02/17/2023,$213.88,46588760,$216.31,$217.40,$209.75
02/16/2023,$220.02,41202630,$221.33,$225.50,$219.268
02/15/2023,$227.64,42118830,$225.49,$228.55,$221.06
